community_area,crime_count,avg_severity,center_latitude,center_longitude
25,2430,1.2,41.890899,-87.758503
8,2295,1.15,41.897334,-87.630963
28,2257,1.21,41.877102,-87.660906
43,1823,1.21,41.762585,-87.573132
32,1793,1.17,41.879373,-87.628086
24,1509,1.3,41.901562,-87.675327
29,1336,1.15,41.861337,-87.715912
6,1331,1.21,41.943251,-87.653688
69,1280,1.19,41.763001,-87.618853
23,1216,1.2,41.900223,-87.719285
71,1169,1.15,41.746543,-87.656043
44,1099,1.2,41.743082,-87.61276
49,1090,1.15,41.704696,-87.624079
22,995,1.22,41.922488,-87.699511
66,981,1.18,41.77537,-87.694299
67,928,1.16,41.775843,-87.66479
68,903,1.17,41.776088,-87.643292
19,897,1.23,41.927309,-87.765217
7,878,1.18,41.924203,-87.650285
42,819,1.18,41.778156,-87.603068
3,815,1.2,41.96628,-87.65657
1,787,1.17,42.011073,-87.669944
30,783,1.13,41.845548,-87.710221
61,781,1.16,41.805656,-87.660962
46,776,1.2,41.741426,-87.556113
38,755,1.22,41.812332,-87.617128
26,712,1.2,41.878104,-87.729247
35,702,1.25,41.834123,-87.619859
27,692,1.18,41.877812,-87.70564
15,683,1.2,41.952571,-87.761084
53,676,1.22,41.675981,-87.633472
2,665,1.19,41.998839,-87.69279
77,613,1.16,41.986501,-87.661243
31,599,1.23,41.854574,-87.664822
41,583,1.17,41.796921,-87.590663
21,548,1.23,41.938828,-87.711328
63,525,1.17,41.796041,-87.698976
16,518,1.23,41.953763,-87.720519
73,513,1.2,41.71897,-87.649902
33,512,1.16,41.857829,-87.623886
40,510,1.2,41.791536,-87.620185
58,494,1.19,41.816498,-87.696484
4,452,1.2,41.971992,-87.688851
70,441,1.18,41.746058,-87.71087
14,425,1.17,41.967611,-87.721042
39,420,1.18,41.808704,-87.598345
75,390,1.17,41.688843,-87.663386
65,363,1.2,41.770087,-87.72846
56,359,1.15,41.796522,-87.758874
60,341,1.21,41.837096,-87.647211
51,330,1.22,41.713192,-87.568797
5,321,1.2,41.947147,-87.682085
76,306,1.08,41.977294,-87.881812
20,296,1.22,41.92311,-87.734362
17,289,1.25,41.945773,-87.79929
34,259,1.34,41.843827,-87.633382
52,248,1.27,41.705807,-87.535821
10,248,1.32,41.98394,-87.801676
48,240,1.27,41.730264,-87.575917
57,237,1.14,41.808242,-87.726134
50,221,1.14,41.702104,-87.600719
45,219,1.21,41.744193,-87.587944
62,217,1.2,41.792463,-87.72468
54,215,1.21,41.655933,-87.605426
72,200,1.16,41.711333,-87.671724
64,196,1.19,41.77799,-87.766317
36,196,1.32,41.824189,-87.605762
11,193,1.24,41.97574,-87.76975
59,191,1.17,41.829875,-87.673477
13,174,1.2,41.985364,-87.715799
55,167,1.2,41.658185,-87.544253
18,158,1.34,41.930098,-87.798194
37,130,1.34,41.806691,-87.63231
74,108,1.06,41.694172,-87.710032
12,84,1.18,41.990308,-87.753087
47,54,1.22,41.72759,-87.597556
9,41,1.17,42.004561,-87.813006
